size,thread_count,sum,time
1000,2000,5464,49808
1000,1,5462,17
1000,2,5462,98
1000,3,5462,106
1000,4,5462,116
1000,5,5462,75
1000,6,5462,120
1000,7,5462,175
1000,8,5462,150
1000,9,5462,187
1000,10,5462,508
1000,11,5462,210
1000,12,5462,433
1000,16,5462,325
1000,100,5462,2395
1000,500,5462,11941
1000,2000,5462,48590
10000,1,55341,154
10000,2,55341,204
10000,3,55341,205
10000,4,55341,203
10000,5,55341,151
10000,6,55341,159
10000,7,55341,201
10000,8,55341,228
10000,9,55341,260
10000,10,55341,573
10000,11,55341,258
10000,12,55341,394
10000,16,55341,341
10000,100,55341,2404
10000,500,55341,12373
10000,2000,55341,48836
10000,1,55464,154
10000,2,55464,265
10000,3,55464,134
10000,4,55464,205
10000,5,55464,187
10000,6,55464,255
10000,7,55464,231
10000,8,55464,222
10000,9,55464,258
10000,10,55464,618
10000,11,55464,266
10000,12,55464,1188
10000,16,55464,366
10000,100,55464,2569
10000,500,55464,12932
10000,2000,55464,49180
10000,1,55047,168
10000,2,55047,152
10000,3,55047,182
10000,4,55047,188
10000,5,55047,162
10000,6,55047,215
10000,7,55047,212
10000,8,55047,201
10000,9,55047,216
10000,10,55047,598
10000,11,55047,262
10000,12,55047,495
10000,16,55047,392
10000,100,55047,2743
10000,500,55047,12636
10000,2000,55047,50521
10000,1,55141,154
10000,2,55141,282
10000,3,55141,204
10000,4,55141,189
10000,5,55141,174
10000,6,55141,243
10000,7,55141,213
10000,8,55141,224
10000,9,55141,231
10000,10,55141,562
10000,11,55141,237
10000,12,55141,459
10000,16,55141,374
10000,100,55141,2505
10000,500,55141,12498
10000,2000,55141,50728
10000,1,55887,149
10000,2,55887,207
10000,3,55887,207
10000,4,55887,182
10000,5,55887,156
10000,6,55887,253
10000,7,55887,223
10000,8,55887,217
10000,9,55887,219
10000,10,55887,599
10000,11,55887,244
10000,12,55887,1181
10000,16,55887,386
10000,100,55887,2767
10000,500,55887,12627
10000,2000,55887,49058
10000,1,54958,180
10000,2,54958,252
10000,3,54958,200
10000,4,54958,188
10000,5,54958,185
10000,6,54958,186
10000,7,54958,228
10000,8,54958,201
10000,9,54958,244
10000,10,54958,606
10000,11,54958,240
10000,12,54958,459
10000,16,54958,360
10000,100,54958,2530
10000,500,54958,12370
10000,2000,54958,49747
10000,1,54349,154
10000,2,54349,247
10000,3,54349,172
10000,4,54349,184
10000,5,54349,147
10000,6,54349,232
10000,7,54349,200
10000,8,54349,297
10000,9,54349,260
10000,10,54349,564
10000,11,54349,263
10000,12,54349,456
10000,16,54349,343
10000,100,54349,2531
10000,500,54349,12854
10000,2000,54349,48354
10000,1,54928,154
10000,2,54928,266
10000,3,54928,140
10000,4,54928,202
10000,5,54928,185
10000,6,54928,195
10000,7,54928,240
10000,8,54928,218
10000,9,54928,254
10000,10,54928,538
10000,11,54928,221
10000,12,54928,405
10000,16,54928,367
10000,100,54928,2316
10000,500,54928,12102
10000,2000,54928,48496
10000,1,55538,154
10000,2,55538,266
10000,3,55538,207
10000,4,55538,186
10000,5,55538,179
10000,6,55538,224
10000,7,55538,215
10000,8,55538,203
10000,9,55538,240
10000,10,55538,577
10000,11,55538,238
10000,12,55538,509
10000,16,55538,331
10000,100,55538,2296
10000,500,55538,12030
10000,2000,55538,48786
10000,1,54984,154
10000,2,54984,268
10000,3,54984,372
10000,4,54984,194
10000,5,54984,178
10000,6,54984,219
10000,7,54984,188
10000,8,54984,205
10000,9,54984,265
10000,10,54984,603
10000,11,54984,289
10000,12,54984,493
10000,16,54984,339
10000,100,54984,2337
10000,500,54984,12548
10000,2000,54984,48878
100000,1,548482,1501
100000,2,548482,1686
100000,3,548482,975
100000,4,548482,941
100000,5,548482,718
100000,6,548482,717
100000,7,548482,553
100000,8,548482,775
100000,9,548482,678
100000,10,548482,668
100000,11,548482,698
100000,12,548482,663
100000,16,548482,867
100000,100,548482,2637
100000,500,548482,11735
100000,2000,548482,47205
100000,1,549286,1496
100000,2,549286,1315
100000,3,549286,1221
100000,4,549286,738
100000,5,549286,855
100000,6,549286,722
100000,7,549286,539
100000,8,549286,840
100000,9,549286,752
100000,10,549286,772
100000,11,549286,641
100000,12,549286,701
100000,16,549286,553
100000,100,549286,2460
100000,500,549286,12015
100000,2000,549286,48697
100000,1,550192,1480
100000,2,550192,1711
100000,3,550192,1091
100000,4,550192,918
100000,5,550192,785
100000,6,550192,729
100000,7,550192,593
100000,8,550192,749
100000,9,550192,675
100000,10,550192,690
100000,11,550192,732
100000,12,550192,673
100000,16,550192,653
100000,100,550192,2455
100000,500,550192,12223
100000,2000,550192,49177
100000,1,550802,1492
100000,2,550802,1568
100000,3,550802,1408
100000,4,550802,922
100000,5,550802,635
100000,6,550802,725
100000,7,550802,561
100000,8,550802,778
100000,9,550802,689
100000,10,550802,680
100000,11,550802,581
100000,12,550802,862
100000,16,550802,605
100000,100,550802,2456
100000,500,550802,12753
100000,2000,550802,47520
100000,1,551229,1481
100000,2,551229,1619
100000,3,551229,1208
100000,4,551229,1024
100000,5,551229,816
100000,6,551229,768
100000,7,551229,588
100000,8,551229,780
100000,9,551229,677
100000,10,551229,716
100000,11,551229,727
100000,12,551229,671
100000,16,551229,693
100000,100,551229,2544
100000,500,551229,11904
100000,2000,551229,48512
100000,1,549118,1498
100000,2,549118,1737
100000,3,549118,1173
100000,4,549118,889
100000,5,549118,760
100000,6,549118,642
100000,7,549118,537
100000,8,549118,488
100000,9,549118,456
100000,10,549118,935
100000,11,549118,656
100000,12,549118,627
100000,16,549118,525
100000,100,549118,2474
100000,500,549118,12144
100000,2000,549118,48026
100000,1,550465,1490
100000,2,550465,1490
100000,3,550465,1228
100000,4,550465,1025
100000,5,550465,787
100000,6,550465,728
